session_id,survey_id,annotator_id,evaluator_gender,evaluator_age,clip_id,display_order,speaker_id,speaker_sex,sentence_num,model_name,is_cloned,humanlike,customer_service,native_english,authoritative,warm,trust,intimate_convo
session_008,survey_148,annotator_088,Man,,clip_0804,2,speaker_034,Male,4,chatterbox,0,3,4,1,1,3,2,1
session_007,survey_097,annotator_068,Woman,,clip_1550,4,speaker_072,Female,2,coqui_xtts,0,3,1,2,2,3,3,2
session_008,survey_148,annotator_088,Man,,clip_0684,3,speaker_015,Male,5,chatterbox,1,4,1,1,2,3,2,1
session_007,survey_097,annotator_068,Woman,,clip_1698,5,speaker_020,Female,2,coqui_xtts,0,3,1,3,2,1,3,1
session_007,survey_097,annotator_068,Woman,,clip_2198,6,speaker_068,Female,8,coqui_xtts,1,2,1,2,1,3,3,2
session_007,survey_097,annotator_068,Woman,,clip_1936,7,speaker_079,Female,9,coqui_xtts,0,3,2,2,2,1,3,1
session_008,survey_148,annotator_088,Man,,clip_0651,4,speaker_010,Male,4,chatterbox,0,3,1,1,1,4,2,1
session_007,survey_097,annotator_068,Woman,,clip_1397,8,speaker_044,Female,7,coqui_xtts,1,3,2,3,3,2,3,2
session_007,survey_097,annotator_068,Woman,,clip_1425,9,speaker_047,Female,4,coqui_xtts,0,2,1,3,2,1,2,2
session_007,survey_097,annotator_068,Woman,,clip_2173,10,speaker_055,Female,4,coqui_xtts,1,3,3,3,3,2,3,3
session_007,survey_097,annotator_068,Woman,,clip_1469,11,speaker_056,Female,2,coqui_xtts,1,3,2,2,3,2,2,2
session_007,survey_097,annotator_068,Woman,,clip_1551,12,speaker_072,Female,2,coqui_xtts,1,3,1,3,3,3,3,2
session_007,survey_097,annotator_068,Woman,,clip_1782,13,speaker_055,Female,4,coqui_xtts,0,3,2,2,2,1,2,2
session_007,survey_097,annotator_068,Woman,,clip_1396,14,speaker_044,Female,7,coqui_xtts,0,3,2,3,3,3,3,2
session_007,survey_097,annotator_068,Woman,,clip_2138,15,speaker_020,Female,7,coqui_xtts,1,3,2,2,1,1,2,2
session_008,survey_148,annotator_088,Man,,clip_1715,5,speaker_063,Male,2,chatterbox,0,4,2,5,2,5,3,3
session_007,survey_097,annotator_068,Woman,,clip_1901,16,speaker_068,Female,8,coqui_xtts,0,2,2,2,2,1,2,2
session_008,survey_148,annotator_088,Man,,clip_1869,6,speaker_065,Male,7,chatterbox,0,3,2,5,2,3,3,2
session_007,survey_097,annotator_068,Woman,,clip_1468,17,speaker_056,Female,2,coqui_xtts,0,3,2,2,3,2,3,3
session_007,survey_097,annotator_068,Woman,,clip_1857,18,speaker_020,Female,7,coqui_xtts,0,3,2,2,2,2,3,3
session_007,survey_097,annotator_068,Woman,,clip_2135,19,speaker_020,Female,2,coqui_xtts,1,3,1,3,3,3,3,2
session_007,survey_097,annotator_068,Woman,,clip_1426,20,speaker_047,Female,4,coqui_xtts,1,3,2,3,3,3,2,2
session_008,survey_148,annotator_088,Man,,clip_2090,7,speaker_065,Male,8,chatterbox,1,3,2,2,1,4,2,1
session_008,survey_148,annotator_088,Man,,clip_0633,8,speaker_008,Male,7,chatterbox,0,2,3,2,1,3,2,1
session_008,survey_148,annotator_088,Man,,clip_2083,9,speaker_063,Male,2,chatterbox,1,4,2,4,1,4,3,2
session_008,survey_148,annotator_088,Man,,clip_0683,10,speaker_015,Male,5,chatterbox,0,4,1,1,1,4,2,1
session_008,survey_148,annotator_088,Man,,clip_0894,11,speaker_048,Male,5,chatterbox,0,2,1,3,5,2,3,1
session_008,survey_148,annotator_088,Man,,clip_0652,12,speaker_010,Male,4,chatterbox,1,3,3,5,2,4,5,3
session_008,survey_148,annotator_088,Man,,clip_1896,13,speaker_065,Male,8,chatterbox,0,2,1,1,1,2,1,1
session_009,survey_060,annotator_080,Man,,clip_0788,19,speaker_032,Male,8,chatterbox,0,3,1,4,1,2,1,1
session_008,survey_148,annotator_088,Man,,clip_0634,14,speaker_008,Male,7,chatterbox,1,1,1,1,1,2,1,1
session_008,survey_148,annotator_088,Man,,clip_1093,15,speaker_086,Male,3,chatterbox,0,3,3,3,1,4,3,1
session_008,survey_148,annotator_088,Man,,clip_1094,16,speaker_086,Male,3,chatterbox,1,1,1,1,1,4,3,1
session_008,survey_148,annotator_088,Man,,clip_1861,17,speaker_035,Male,7,chatterbox,0,2,1,2,1,3,3,1
session_008,survey_148,annotator_088,Man,,clip_2061,18,speaker_035,Male,7,chatterbox,1,3,3,2,1,4,3,1
session_021,survey_080,annotator_123,Man,,clip_1952,2,speaker_019,Male,8,elevenlabs,1,4,3,3,3,3,4,4
session_008,survey_148,annotator_088,Man,,clip_2089,19,speaker_065,Male,7,chatterbox,1,5,3,5,4,3,3,3
session_008,survey_148,annotator_088,Man,,clip_0805,20,speaker_034,Male,4,chatterbox,1,3,4,3,3,3,4,3
session_023,survey_175,annotator_051,Woman,,clip_1807,1,speaker_055,Female,5,elevenlabs,0,3,2,3,3,3,3,3
session_023,survey_175,annotator_051,Woman,,clip_1970,2,speaker_027,Female,1,elevenlabs,1,5,4,5,4,4,4,4
session_023,survey_175,annotator_051,Woman,,clip_0421,3,speaker_049,Female,1,elevenlabs,0,2,1,4,2,2,2,2
session_023,survey_175,annotator_051,Woman,,clip_0422,4,speaker_049,Female,1,elevenlabs,1,3,3,4,4,3,3,4
session_026,survey_073,annotator_173,Man,,clip_1366,1,speaker_036,Male,8,coqui_xtts,0,1,1,1,1,2,1,1
session_023,survey_175,annotator_051,Woman,,clip_0213,5,speaker_028,Female,3,elevenlabs,0,4,4,4,3,4,4,4
session_026,survey_073,annotator_173,Man,,clip_1633,2,speaker_085,Male,3,coqui_xtts,1,2,3,3,3,4,1,1
session_023,survey_175,annotator_051,Woman,,clip_0419,6,speaker_049,Female,9,elevenlabs,0,3,2,4,4,3,3,3
session_024,survey_017,annotator_150,Woman,,clip_0062,1,speaker_008,Male,4,elevenlabs,1,4,2,5,1,2,2,2
session_026,survey_073,annotator_173,Man,,clip_2129,3,speaker_019,Male,4,coqui_xtts,1,3,2,3,3,2,2,2
session_023,survey_175,annotator_051,Woman,,clip_0114,7,speaker_014,Female,7,elevenlabs,1,5,4,5,4,5,4,4
session_024,survey_017,annotator_150,Woman,,clip_1981,2,speaker_038,Male,7,elevenlabs,1,5,1,5,2,2,2,3
